filepath,author,comment,replies,anchor,created
IMAGERY_TRIAGE.xlsx,,(no comment),,,
manifest.jsonl,,(no comment),,,
12-textures-ambient-arrivals/texture-linen-weave.jpg,michael singleton,yes,,"[null,[null,[0.29843614248479583,0.31711555169417893,0.6807124239791486,0.6559513466550825]],null,""0B4FkjOvGXGNBaFRNNDlvb1lyZFVhOFdXRGtkVllpbkVDaEU4PQ""]",2026-05-05T20:12:42.937Z
11-hands-and-vignettes/hand-alpine-glove.jpg,michael singleton,sure,,"[null,[null,[0.36272806255430057,0.3761946133796698,0.8909643788010425,0.9339704604691572]],null,""0B4FkjOvGXGNBbTdxVVMwQi8xMnp4MHRWOU10Tmgwa2Rqb3VnPQ""]",2026-05-05T20:12:32.244Z
11-hands-and-vignettes/back-of-head-car.jpg,michael singleton,nice,,"[null,[null,[0.09169983140766118,0.19200695047784533,0.6900874821865591,0.7289313640312771]],null,""0B4FkjOvGXGNBZ29KTll0bzRHWkh2K1YzZnlGbXZlRExiRk9nPQ""]",2026-05-05T20:12:26.701Z
11-hands-and-vignettes/hand-porcelain-cup.jpg,michael singleton,completely senseless unless we're selling prosthesis,,"[null,[null,[0.15595134665508253,0.20243266724587314,0.6164205039096438,0.7428323197219808]],null,""0B4FkjOvGXGNBbWw4em9SR3JPTnFSam5yb3BsTDFEYTBkY2g4PQ""]",2026-05-05T20:12:19.901Z
11-hands-and-vignettes/forearm-railing-alpine.jpg,michael singleton,"weird hand placement, where is the body?",,"[null,[null,[0.22893136403127715,0.2684622067767159,0.8040834057341442,0.9426585577758471]],null,""0B4FkjOvGXGNBa2dYQWlWWStpcS9tQlF0Umo1aDl5TWhKakowPQ""]",2026-05-05T20:12:04.831Z
11-hands-and-vignettes/hand-harbour-rope.jpg,michael singleton,nice,,"[null,[null,[0.14900086880973065,0.3292788879235447,0.7241529105125977,0.836663770634231]],null,""0B4FkjOvGXGNBeDdvV1h2czUvTGRtdy9ibXR6TzhkOHBMazNRPQ""]",2026-05-05T20:11:52.801Z
11-hands-and-vignettes/reflected-silhouette.jpg,michael singleton,like it,,"[null,[null,[0.37704699968876,0.32754126846220677,0.8645566648455534,0.7602085143353605]],null,""0B4FkjOvGXGNBYWoxY1U2NkRqWC9EWjZFOURsaHhaMFA4YWhZPQ""]",2026-05-05T20:11:44.702Z
11-hands-and-vignettes/profile-out-of-focus.jpg,michael singleton,he's just like me,,"[null,[null,[0.17859173776652548,0.2719374456993918,0.7049296063428865,0.68375325803649]],null,""0B4FkjOvGXGNBOW5lL0VLbmtGbW1pNmEra0R0VjdHRDFES0dnPQ""]",2026-05-05T20:11:38.108Z
11-hands-and-vignettes/hand-at-car-door.jpg,michael singleton,what is the interior? seems weird,,"[null,[null,[0.34870587266602093,0.14856646394439618,0.6871779798326909,0.7306689834926151]],null,""0B4FkjOvGXGNBNkhDdFlEZS95K215VlVBZHljcGxEa1JsWXJvPQ""]",2026-05-05T20:11:27.510Z
11-hands-and-vignettes/shoulder-receding-hall.jpg,michael singleton,decent,,"[null,[null,[0.24978279263450132,0.2458731537793223,0.5872850656832153,0.732406602953953]],null,""0B4FkjOvGXGNBdFdsTVNPUG9vZGtrM1pUc0x2elhlNnBVcVlFPQ""]",2026-05-05T20:11:02.903Z
11-hands-and-vignettes/hands-folded-linen.jpg,michael singleton,sure,,"[null,[null,[0.42180712423979144,0.29105125977410945,0.7658557775847089,0.8210251954821894]],null,""0B4FkjOvGXGNBMlF2cXNmd2NhTUxKWkhiek9WcStpcmQ4MmRnPQ""]",2026-05-05T20:10:51.721Z
11-hands-and-vignettes/cuff-sill.jpg,michael singleton,decapitated hand no thanks,,"[null,[null,[0.45482189400521283,0.40225890529973934,0.8857515204170286,0.9096437880104258]],null,""0B4FkjOvGXGNBQ09yYVhVSXNQTHFJMm1najNxWXdMZVcramlrPQ""]",2026-05-05T20:10:43.670Z
11-hands-and-vignettes/breath-cold-glass.jpg,michael singleton,nice,,"[null,[null,[0.37836663770634227,0.4769765421372719,0.9569939183318853,0.9374456993918332]],null,""0B4FkjOvGXGNBcWdqemRWWWFtYXRVUUlIUlBPSC8ycHROWDNNPQ""]",2026-05-05T20:10:33.499Z
